! Year   TT-UT1 (seconds)
1835   5.8
1836   5.7
1837   5.6
1838   5.6
1839   5.6
1840   5.7
1841   5.8
1842   5.9
1843   6.1
1844   6.2
1845   6.3
1846   6.5
1847   6.6
1848   6.8
1849   6.9
1850   7.1
1851   7.2
1852   7.3
1853   7.4
1854   7.5
1855   7.6
1856   7.7
1857   7.7
1858   7.8
1859   7.8
1860   7.88
1861   7.82
1862   7.54
1863   6.97
1864   6.4
1865   6.02
1866   5.41
1867   4.1
1868   2.92
1869   1.82
1870   1.61
1871   0.1
1872   -1.02
1873   -1.28
1874   -2.69
1875   -3.24
1876   -3.64
1877   -4.54
1878   -4.71
1879   -5.11
1880   -5.4
1881   -5.42
1882   -5.2
1883   -5.46
1884   -5.46
1885   -5.79
1886   -5.63
1887   -5.64
1888   -5.8
1889   -5.66
1890   -5.87
1891   -6.01
1892   -6.19
1893   -6.64
1894   -6.44
1895   -6.47
1896   -6.09
1897   -5.76
1898   -4.66
1899   -3.74
1900   -2.72
1901   -1.54
1902   -0.02
1903   1.24
1904   2.64
1905   3.86
1906   5.37
1907   6.14
1908   7.75
1909   9.13
1910   10.46
1911   11.53
1912   13.36
1913   14.65
1914   16.01
1915   17.2
1916   18.24
1917   19.06
1918   20.25
1919   20.95
1920   21.16
1921   22.25
1922   22.41
1923   23.03
1924   23.49
1925   23.62
1926   23.86
1927   24.49
1928   24.34
1929   24.08
1930   24.02
1931   24.0
1932   23.87
1933   23.95
1934   23.86
1935   23.93
1936   23.73
1937   23.92
1938   23.96
1939   24.02
1940   24.33
1941   24.83
1942   25.3
1943   25.7
1944   26.24
1945   26.77
1946   27.28
1947   27.78
1948   28.25
1949   28.71
1950   29.15
1951   29.57
1952   29.97
1953   30.36
1954   30.72
1955   31.07
1956   31.35
1957   31.68
1958   32.18
1959   32.68
1960   33.15
1961   33.59
1962   34.0
1963   34.47
1964   35.03
1965   35.73
1966   36.54
1967   37.43
1968   38.29
1969   39.2
1970   40.18
1971   41.17
1972   42.23
1973   43.37
1974   44.49
1975   45.48
1976   46.46
1977   47.52
1978   48.53
1979   49.59
1980   50.54
1981   51.38
1982   52.17
1983   52.96
1984   53.79
1985   54.34
1986   54.87
1987   55.32
1988   55.82
1989   56.3
1990   56.86
1991   57.57
1992   58.31
1993   59.12
1994   59.98
1995   60.78
1996   61.63
1997   62.3
1998   62.97
1999   63.47
2000   63.83
2001   64.09
2002   64.3
2003   64.47
2004   64.57
2005   64.69
2006   64.85
2007   65.15
2008   65.45
2009   65.70
2010   66.5    extrapolated
2011   67.1    extrapolated
2012   68.0    extrapolated
